date,game,id,quantity,maxplayers,minplayers,playingtime,rating_average,rating_bayesaverage,yearpublished
2018-02-23,Exceed: Red Horizon – Reese & Heidi vs. Vincent & Nehtali,180543,1,2,2,30,8.02191,5.81483,2016
2018-02-22,Innovation,63888,1,4,2,60,7.24296,7.08204,2010
2018-02-21,Innovation,63888,1,4,2,60,7.24296,7.08204,2010
2018-02-21,NOIR: Deductive Mystery Game,102148,1,9,2,5,6.64904,6.03002,2012
2018-02-21,Tiny Epic Quest,201921,1,4,1,60,7.4032,6.7999,2017
2018-02-18,Eclipse,72125,1,6,2,200,7.98558,7.82218,2011
2018-02-18,Ethnos,206718,1,6,2,60,7.59328,7.09714,2017
2018-02-18,Exceed: Red Horizon – Reese & Heidi vs. Vincent & Nehtali,180543,1,2,2,30,8.02191,5.81483,2016
2018-02-17,Exceed: Red Horizon – Reese & Heidi vs. Vincent & Nehtali,180543,1,2,2,30,8.02191,5.81483,2016
2018-02-17,Exceed: Red Horizon – Reese & Heidi vs. Vincent & Nehtali,180543,1,2,2,30,8.02191,5.81483,2016
2018-02-17,Exceed: Red Horizon – Reese & Heidi vs. Vincent & Nehtali,180543,1,2,2,30,8.02191,5.81483,2016
2018-02-17,Exceed: Red Horizon – Reese & Heidi vs. Vincent & Nehtali,180543,1,2,2,30,8.02191,5.81483,2016
2018-02-17,Exceed: Red Horizon – Reese & Heidi vs. Vincent & Nehtali,180543,1,2,2,30,8.02191,5.81483,2016
2018-02-15,Exceed: Red Horizon – Reese & Heidi vs. Vincent & Nehtali,180543,1,2,2,30,8.02191,5.81483,2016
2018-02-12,Exceed: Red Horizon – Reese & Heidi vs. Vincent & Nehtali,180543,1,2,2,30,8.02191,5.81483,2016
2018-02-07,Exceed: Red Horizon – Reese & Heidi vs. Vincent & Nehtali,180543,1,2,2,30,8.02191,5.81483,2016
2018-02-04,Exceed: Red Horizon – Reese & Heidi vs. Vincent & Nehtali,180543,1,2,2,30,8.02191,5.81483,2016
2018-01-31,Millennium Blades,151347,1,5,2,120,7.88481,7.07624,2016
2018-01-30,Exceed: Red Horizon – Reese & Heidi vs. Vincent & Nehtali,180543,1,2,2,30,8.02191,5.81483,2016
2018-01-29,Exceed: Red Horizon – Reese & Heidi vs. Vincent & Nehtali,180543,1,2,2,30,8.02191,5.81483,2016
2018-01-27,Captain Sonar,171131,1,8,2,60,7.74332,7.44514,2016
2018-01-27,Captain Sonar,171131,1,8,2,60,7.74332,7.44514,2016
2018-01-27,Captain Sonar,171131,1,8,2,60,7.74332,7.44514,2016
2018-01-27,One Night Ultimate Werewolf,147949,1,10,3,10,7.2919,7.11423,2014
2018-01-27,One Night Ultimate Werewolf,147949,1,10,3,10,7.2919,7.11423,2014
2018-01-27,One Night Ultimate Werewolf,147949,1,10,3,10,7.2919,7.11423,2014
2018-01-27,One Night Ultimate Werewolf,147949,1,10,3,10,7.2919,7.11423,2014
2018-01-27,Telestrations,46213,1,8,4,30,7.42468,7.18373,2009
